,Random Forest Features
MIN_PEAKS_LOG,1.0
MIN_PEAKS,0.98
MIN_PEAKS_SQRT,0.98
INSC_LOG,0.55
INSC,0.52
INSC_SQRT,0.52
MIN_ONSET_SQRT,0.42
MIN_ONSET_LOG,0.42
MIN_ONSET,0.42
SKEW_YEO_JON,0.3
SKEW,0.28
MAX,0.26
ALSC,0.25
MAX_LOG,0.24
RANGE_SQRT,0.24
MAX_SQRT,0.24
ALSC_LOG,0.23
RANGE,0.22
RANGE_LOG,0.21
ALSC_SQRT,0.18
MIN_LOG,0.15
MIN_SQRT,0.15
MIN,0.15
RMSC,0.11
RMSC_SQRT,0.11
RMSC_LOG,0.1
APSC_SQRT,0.1
MEAN_SQRT,0.1
STD_PEAKS,0.09
STD_PEAKS_YEO_JON,0.09
MEAN,0.09
MAX_ONSET_LOG,0.08
MEAN_LOG,0.08
MAX_ONSET_SQRT,0.07
MAX_ONSET,0.07
MEAN_PEAKS_SQRT,0.07
APSC,0.06
MAX_PEAKS,0.06
MAX_PEAKS_LOG,0.06
MAX_PEAKS_SQRT,0.06
MEAN_PEAKS_LOG,0.06
APSC_LOG,0.05
MEAN_PEAKS,0.05
MEAN_ONSET,0.03
MEAN_ONSET_LOG,0.03
KURT_YEO_JON,0.03
KURT,0.03
STD_ONSET,0.03
MEAN_ONSET_SQRT,0.03
MEAN_1ST_GRAD_YEO_JON,0.02
STD_ONSET_YEO_JON,0.02
MEAN_1ST_GRAD,0.02
STD_1ST_GRAD,0.01
STD_1ST_GRAD_YEO_JON,0.01
STD_2ND_GRAD,0.01
STD_2ND_GRAD_YEO_JON,0.01
MEAN_2ND_GRAD,0.0
MEAN_2ND_GRAD_YEO_JON,0.0
