,Random Forest Features
MEDIAN_RR_LOG,1
MEDIAN_RR_SQRT,0.96
HR,0.94
MEAN_RR_SQRT,0.94
MEDIAN_RR,0.92
HR_LOG,0.91
HR_SQRT,0.9
MEAN_RR_LOG,0.88
MEAN_RR,0.86
MEDIAN_REL_RR_YEO_JON,0.52
MEDIAN_REL_RR,0.51
SDRR_RMSSD_LOG,0.38
SD1_LOG,0.36
SDRR_RMSSD_SQRT,0.35
pNN25,0.35
pNN25_YEO_JON,0.35
SDRR_RMSSD,0.35
pNN50,0.35
pNN50_YEO_JON,0.35
sampen,0.35
sampen_SQRT,0.33
sampen_LOG,0.32
higuci_SQRT,0.32
SDSD_LOG,0.32
SD1_SQRT,0.31
SD1,0.31
SDSD_SQRT,0.3
SDSD,0.3
higuci_LOG,0.29
higuci,0.29
LF,0.28
LF_SQRT,0.28
LF_LOG,0.28
RMSSD,0.27
RMSSD_LOG,0.26
LF_PCT_LOG,0.26
RMSSD_SQRT,0.26
KURT_REL_RR,0.26
KURT_YEO_JON,0.26
SDRR_RMSSD_REL_RR,0.25
KURT_REL_RR_YEO_JON,0.25
SD2_SQRT,0.25
SDRR_SQRT,0.25
SD2,0.25
LF_PCT,0.24
LF_PCT_SQRT,0.24
SDRR_RMSSD_REL_RR_SQRT,0.24
SD2_LOG,0.24
SDRR_RMSSD_REL_RR_LOG,0.24
SDRR_LOG,0.23
KURT,0.23
TP_SQRT,0.23
SDRR,0.23
RMSSD_REL_RR_SQRT,0.22
SDRR_REL_RR_LOG,0.22
VLF_PCT_LOG,0.22
SKEW_REL_RR,0.22
VLF_LOG,0.22
TP_LOG,0.22
TP,0.22
VLF_SQRT,0.21
SDSD_REL_RR,0.21
VLF,0.21
SKEW_YEO_JON,0.21
RMSSD_REL_RR,0.21
SDSD_REL_RR_LOG,0.2
SDSD_REL_RR_SQRT,0.2
RMSSD_REL_RR_LOG,0.2
HF_SQRT,0.2
SDRR_REL_RR_SQRT,0.2
VLF_PCT_SQRT,0.2
VLF_PCT,0.2
SKEW_REL_RR_YEO_JON,0.2
HF_LOG,0.19
HF,0.19
SKEW,0.19
SDRR_REL_RR,0.19
LF_NU,0.19
LF_HF_SQRT,0.17
HF_NU_SQRT,0.17
LF_NU_LOG,0.17
LF_HF,0.17
HF_LF,0.16
HF_PCT_LOG,0.16
HF_PCT,0.16
HF_NU,0.16
HF_LF_SQRT,0.16
HF_LF_LOG,0.16
LF_HF_LOG,0.15
HF_NU_LOG,0.15
LF_NU_SQRT,0.15
HF_PCT_SQRT,0.14
MEAN_REL_RR_YEO_JON,0
MEAN_REL_RR,0
