,Random Forest Features
HR_SQRT,1.0
HR,0.95
HR_LOG,0.89
HR_SQRT_LOG,0.83
HR_SQRT_SQRT,0.77
MEDIAN_RR_LOG,0.54
MEAN_RR_SQRT_SQRT,0.54
MEDIAN_RR,0.52
MEAN_RR_LOG,0.49
MEAN_RR_LOG_LOG,0.48
MEAN_RR_LOG_SQRT,0.47
MEAN_RR_SQRT_LOG,0.46
MEDIAN_RR_SQRT,0.46
MEAN_RR,0.44
MEAN_RR_SQRT,0.43
SD1_BOXCOX_LOG,0.27
SD1_BOXCOX,0.27
SD1_BOXCOX_SQRT,0.26
SDSD_REL_RR_SQRT,0.17
RMSSD_REL_RR_LOG_SQRT,0.16
RMSSD_REL_RR,0.16
SDRR_REL_RR_LOG,0.15
RMSSD_REL_RR_LOG_LOG,0.15
SDSD_REL_RR,0.15
SDSD_REL_RR_LOG_LOG,0.15
SDSD_REL_RR_LOG_SQRT,0.15
LF_BOXCOX,0.14
SDRR_REL_RR_SQRT,0.14
SDSD_REL_RR_LOG,0.14
LF_BOXCOX_SQRT,0.14
RMSSD_REL_RR_LOG,0.14
LF_BOXCOX_LOG,0.14
SDRR_REL_RR,0.14
RMSSD_REL_RR_SQRT,0.13
LF,0.12
HF_PCT_LOG,0.11
MEDIAN_REL_RR_LOG,0.11
LF_LOG,0.11
MEDIAN_REL_RR_YEO_JON,0.11
LF_LOG_SQRT,0.1
LF_LOG_LOG,0.1
MEDIAN_REL_RR,0.1
MEDIAN_REL_RR_LOG_YEO_JON,0.1
HF_VLF,0.09
HF_PCT,0.09
SDSD_SQRT,0.09
SD1,0.08
HF_LOG_LOG,0.08
SD1_SQRT,0.08
HF_PCT_SQRT,0.08
HF_VLF_LOG,0.08
HR_LF_SQRT,0.08
SD1_LOG_SQRT,0.08
SDSD,0.07
LF_SQRT,0.07
SDSD_LOG,0.07
SD1_LOG_LOG,0.07
HR_LF_LOG,0.07
SD1_LOG,0.06
RMSSD,0.06
HF_SQRT,0.06
HF_LOG_SQRT,0.06
HF_VLF_SQRT,0.06
RMSSD_LOG_LOG,0.06
HR_LF,0.06
pNN25_LOG_YEO_JON,0.05
HF_LOG,0.05
RMSSD_LOG,0.05
RMSSD_SQRT,0.05
RMSSD_LOG_SQRT,0.05
KURT_REL_RR_YEO_JON,0.05
pNN25,0.04
pNN25_LOG,0.04
VLF_PCT,0.04
SDRR_RMSSD_REL_RR_LOG,0.04
pNN25_YEO_JON,0.04
HF_BOXCOX,0.04
HF,0.04
KURT,0.04
LF_NU_SQRT,0.04
KURT_YEO_JON,0.04
KURT_YEO_JONSON,0.04
KURT_YEO_JONSON_YEO_JON,0.04
KURT_REL_RR,0.04
LF_HF_SQRT,0.04
LF_NU,0.04
HF_NU_LOG,0.04
HF_LF,0.04
HF_BOXCOX_YEO_JON,0.04
SKEW_YEO_JONSON,0.03
SDRR_RMSSD_REL_RR_SQRT,0.03
VLF_PCT_SQRT,0.03
TP_SQRT_SQRT,0.03
SDRR_RMSSD_LOG,0.03
SDRR_RMSSD_LOG_LOG,0.03
HF_NU,0.03
SDRR_RMSSD_REL_RR,0.03
HF_LF_LOG,0.03
SDRR_RMSSD_SQRT,0.03
SKEW_YEO_JONSON_YEO_JON,0.03
SDRR_SQRT,0.03
TP_SQRT_LOG,0.03
HF_LF_SQRT,0.03
SDRR_RMSSD,0.03
HR_HF_SQRT,0.03
TP_LOG_SQRT,0.03
SDRR_RMSSD_LOG_SQRT,0.03
VLF_PCT_LOG,0.03
SDRR_LOG,0.03
SD2,0.03
SDRR,0.03
LF_PCT,0.03
LF_HF_LOG,0.03
SD2_LOG,0.03
SD2_SQRT,0.03
pNN50_LOG,0.02
pNN50,0.02
pNN50_LOG_YEO_JON,0.02
TP_SQRT,0.02
SKEW_REL_RR_YEO_JONSON,0.02
LF_PCT_SQRT,0.02
TP_LOG_LOG,0.02
TP_LOG,0.02
TP,0.02
LF_PCT_LOG,0.02
SKEW_YEO_JON,0.02
SKEW_REL_RR_YEO_JONSON_YEO_JON,0.02
SKEW_REL_RR,0.02
SKEW_REL_RR_YEO_JON,0.02
SKEW,0.02
LF_NU_LOG,0.02
HF_NU_SQRT,0.02
HR_HF,0.02
HR_HF_LOG,0.02
LF_HF_LOG_SQRT,0.02
LF_HF_LOG_LOG,0.02
LF_HF,0.02
SD2_LF,0.02
SD2_LF_LOG,0.02
SD2_LF_SQRT,0.02
pNN50_YEO_JON,0.02
VLF_SQRT,0.01
KURT_SQUARE,0.01
VLF_LOG_SQRT,0.01
VLF_LOG_LOG,0.01
VLF_LOG,0.01
VLF,0.01
KURT_SQUARE_LOG,0.01
KURT_SQUARE_SQRT,0.01
MEAN_RR_MEAN_MEAN_REL_RR,0.0
MEAN_REL_RR,0.0
MEAN_REL_RR_YEO_JON,0.0
MEAN_REL_RR_YEO_JONSON,0.0
MEAN_REL_RR_YEO_JONSON_YEO_JON,0.0
MEAN_RR_MEAN_MEAN_REL_RR_YEO_JON,0.0
