,Random Forest Features
MIN_ONSET_SQRT,1.0
MIN_ONSET,0.98
MIN_ONSET_LOG,0.93
INSC,0.9
INSC_LOG,0.88
INSC_SQRT,0.88
MIN_PEAKS_LOG,0.71
MIN_PEAKS,0.69
MIN_PEAKS_SQRT,0.67
MAX,0.56
MAX_LOG,0.56
MAX_SQRT,0.51
MEAN_LOG,0.48
MEAN_SQRT,0.48
MAX_ONSET_LOG,0.47
MAX_ONSET_SQRT,0.47
MAX_ONSET,0.46
MEAN,0.45
RMSC_LOG,0.45
RMSC_SQRT,0.44
RANGE,0.44
RMSC,0.44
RANGE_SQRT,0.43
RANGE_LOG,0.43
MIN_LOG,0.43
MIN,0.42
MAX_PEAKS_LOG,0.42
APSC_SQRT,0.42
MAX_PEAKS_SQRT,0.41
MIN_SQRT,0.41
MAX_PEAKS,0.4
SKEW_YEO_JON,0.31
SKEW,0.3
APSC,0.29
APSC_LOG,0.25
ALSC,0.23
STD_1ST_GRAD,0.23
ALSC_LOG,0.22
STD_1ST_GRAD_YEO_JON,0.22
STD_ONSET,0.21
STD_ONSET_YEO_JON,0.21
STD_PEAKS,0.21
STD_PEAKS_YEO_JON,0.21
KURT_YEO_JON,0.19
ALSC_SQRT,0.19
KURT,0.18
MEAN_ONSET_SQRT,0.16
MEAN_ONSET,0.16
MEAN_PEAKS,0.16
MEAN_PEAKS_SQRT,0.15
MEAN_PEAKS_LOG,0.15
MEAN_ONSET_LOG,0.15
STD_2ND_GRAD_YEO_JON,0.1
STD_2ND_GRAD,0.09
MEAN_1ST_GRAD,0.02
MEAN_1ST_GRAD_YEO_JON,0.01
MEAN_2ND_GRAD_YEO_JON,0.0
MEAN_2ND_GRAD,0.0
