,Random Forest Features
RANGE_LOG,1.0
RANGE_LOG_SQRT,0.97
RANGE_SQRT_LOG,0.95
RANGE_LOG_LOG,0.93
RANGE,0.91
RANGE_SQRT,0.79
RANGE_SQRT_SQRT,0.78
RANGE_BOXCOX_YEO_JON,0.63
RANGE_BOXCOX,0.58
MIN_LOG,0.5
MIN_YEO_JON,0.48
MIN_LOG_LOG_YEO_JON,0.48
MIN_LOG_LOG,0.45
MIN,0.45
MIN_LOG_YEO_JON,0.44
STD_1ST_GRAD_SQRT,0.41
MAX_SQRT,0.41
STD_1ST_GRAD_YEO_JONSON_LOG,0.39
MIN_YEO_JONSON,0.39
STD_1ST_GRAD_YEO_JONSON_SQRT,0.38
MIN_YEO_JONSON_YEO_JON,0.37
STD_1ST_GRAD,0.36
STD_1ST_GRAD_LOG,0.36
STD_1ST_GRAD_YEO_JONSON,0.36
MAX_LOG,0.35
MAX,0.35
INSC_LOG_SQRT,0.33
MAX_YEO_JONSON_SQRT,0.27
MEAN_LOG_LOG,0.27
INSC_LOG,0.27
MEAN_LOG,0.26
MAX_YEO_JONSON,0.26
INSC_SQRT,0.25
INSC_LOG_LOG,0.25
INSC,0.25
MAX_YEO_JONSON_LOG,0.25
MEAN_LOG_SQRT,0.25
MEAN_SQRT,0.24
STD_2ND_GRAD_LOG,0.23
MEAN,0.23
STD_2ND_GRAD_SQRT,0.22
ALSC,0.21
STD_2ND_GRAD,0.2
APSC_LOG_LOG_LOG,0.2
ALSC_SQRT,0.19
RMSC_SQUARED_LOG,0.19
RMSC_SQUARED,0.19
APSC_YEO_JONSON_SQRT,0.18
APSC_LOG_SQRT,0.18
INSC_APSC_SQRT,0.18
RMSC_LOG_LOG,0.18
INSC_APSC_LOG,0.17
APSC_LOG,0.17
RMSC_SQRT,0.17
APSC_YEO_JONSON,0.17
RMSC_LOG,0.16
RMSC,0.16
INSC_APSC,0.16
ALSC_LOG,0.16
RMSC_SQUARED_SQRT,0.16
MEAN_YEO_JONSON_LOG,0.15
MEAN_YEO_JONSON_SQRT,0.15
APSC,0.15
APSC_LOG_LOG,0.15
RMSC_YEO_JONSON,0.15
RMSC_YEO_JONSON_LOG,0.15
RMSC_YEO_JONSON_SQRT,0.15
RMSC_LOG_SQRT,0.14
APSC_LOG_LOG_SQRT,0.14
MEAN_YEO_JONSON,0.13
RMSC_BOXCOX_YEO_JON,0.13
APSC_BOXCOX,0.13
APSC_SQRT,0.13
SKEW_YEO_JON,0.12
APSC_BOXCOX_YEO_JON,0.12
ALSC_LOG_SQRT,0.11
SKEW_YEO_JONSON_YEO_JON,0.11
SKEW_YEO_JONSON,0.11
APSC_YEO_JONSON_LOG,0.11
RMSC_BOXCOX,0.11
SKEW,0.11
ALSC_LOG_LOG,0.1
KURT_YEO_JONSON,0.07
ALSC_LOG_LOG_SQRT,0.07
KURT_YEO_JONSON_YEO_JON,0.06
MEAN_1ST_GRAD_LOG,0.06
MEAN_1ST_GRAD_LOG_LOG,0.06
KURT_YEO_JON,0.06
KURT,0.06
MEAN_1ST_GRAD_YEO_JON,0.06
ALSC_LOG_LOG_LOG,0.06
MEAN_1ST_GRAD_LOG_YEO_JON,0.05
MEAN_1ST_GRAD,0.05
MEAN_1ST_GRAD_LOG_LOG_YEO_JON,0.05
MEAN_1ST_GRAD_YEO_JONSON_YEO_JON,0.04
MEAN_1ST_GRAD_YEO_JONSON,0.04
MEAN_2ND_GRAD_YEO_JON,0.0
MEAN_2ND_GRAD_LOG_LOG_YEO_JON,0.0
MEAN_2ND_GRAD_LOG_LOG,0.0
MEAN_2ND_GRAD_LOG,0.0
MEAN_2ND_GRAD_CUBE,0.0
MEAN_2ND_GRAD,0.0
MEAN_2ND_GRAD_LOG_YEO_JON,0.0
