,Random Forest Features
MAX_YEO_JONSON_SQRT,1.0
MAX_YEO_JONSON,0.98
MAX_YEO_JONSON_LOG,0.97
ALSC,0.69
STD_1ST_GRAD_YEO_JONSON_SQRT,0.36
ALSC_SQRT,0.16
STD_1ST_GRAD_YEO_JONSON_LOG,0.14
STD_1ST_GRAD_YEO_JONSON,0.14
STD_1ST_GRAD_SQRT,0.12
STD_2ND_GRAD_SQRT,0.11
STD_1ST_GRAD,0.1
STD_1ST_GRAD_LOG,0.1
STD_2ND_GRAD,0.07
MIN,0.06
STD_2ND_GRAD_LOG,0.06
MIN_LOG_YEO_JON,0.06
MIN_YEO_JON,0.05
MIN_LOG_LOG,0.05
MIN_LOG_LOG_YEO_JON,0.05
MIN_LOG,0.05
MEAN_YEO_JONSON,0.03
RMSC_YEO_JONSON,0.02
RMSC_YEO_JONSON_LOG,0.02
MEAN_YEO_JONSON_LOG,0.02
RANGE,0.02
RANGE_SQRT,0.02
MEAN_YEO_JONSON_SQRT,0.02
RMSC_YEO_JONSON_SQRT,0.02
RANGE_LOG,0.02
ALSC_LOG_SQRT,0.02
MIN_YEO_JONSON_YEO_JON,0.01
ALSC_LOG,0.01
RANGE_LOG_LOG,0.01
RANGE_LOG_SQRT,0.01
ALSC_LOG_LOG,0.01
RANGE_SQRT_LOG,0.01
RANGE_SQRT_SQRT,0.01
RANGE_BOXCOX,0.01
RMSC_BOXCOX,0.01
RMSC_BOXCOX_YEO_JON,0.01
ALSC_LOG_LOG_LOG,0.01
KURT_YEO_JON,0.01
KURT_YEO_JONSON,0.01
APSC_YEO_JONSON_LOG,0.01
MIN_YEO_JONSON,0.01
APSC_YEO_JONSON_SQRT,0.01
ALSC_LOG_LOG_SQRT,0.01
APSC_BOXCOX,0.01
APSC_BOXCOX_YEO_JON,0.01
KURT,0.01
RANGE_BOXCOX_YEO_JON,0.01
KURT_YEO_JONSON_YEO_JON,0.01
APSC_YEO_JONSON,0.01
APSC_LOG,0.0
RMSC,0.0
RMSC_LOG,0.0
RMSC_LOG_LOG,0.0
RMSC_LOG_SQRT,0.0
RMSC_SQRT,0.0
RMSC_SQUARED_LOG,0.0
RMSC_SQUARED_SQRT,0.0
SKEW,0.0
SKEW_YEO_JON,0.0
SKEW_YEO_JONSON,0.0
SKEW_YEO_JONSON_YEO_JON,0.0
RMSC_SQUARED,0.0
MEAN_SQRT,0.0
APSC_LOG_LOG,0.0
MEAN_LOG_SQRT,0.0
MAX_SQRT,0.0
MAX_LOG,0.0
MAX,0.0
INSC_SQRT,0.0
INSC_LOG_SQRT,0.0
INSC_LOG_LOG,0.0
INSC_LOG,0.0
INSC_APSC_SQRT,0.0
INSC_APSC_LOG,0.0
INSC_APSC,0.0
INSC,0.0
APSC_SQRT,0.0
APSC_LOG_SQRT,0.0
APSC_LOG_LOG_SQRT,0.0
APSC_LOG_LOG_LOG,0.0
APSC,0.0
MEAN,0.0
MEAN_1ST_GRAD,0.0
MEAN_2ND_GRAD_CUBE,0.0
MEAN_LOG_LOG,0.0
MEAN_LOG,0.0
MEAN_2ND_GRAD_YEO_JON,0.0
MEAN_2ND_GRAD_LOG_LOG_YEO_JON,0.0
MEAN_2ND_GRAD_LOG_LOG,0.0
MEAN_2ND_GRAD_LOG,0.0
MEAN_2ND_GRAD,0.0
MEAN_1ST_GRAD_LOG,0.0
MEAN_1ST_GRAD_YEO_JONSON_YEO_JON,0.0
MEAN_1ST_GRAD_YEO_JONSON,0.0
MEAN_1ST_GRAD_YEO_JON,0.0
MEAN_1ST_GRAD_LOG_YEO_JON,0.0
MEAN_1ST_GRAD_LOG_LOG_YEO_JON,0.0
MEAN_1ST_GRAD_LOG_LOG,0.0
MEAN_2ND_GRAD_LOG_YEO_JON,0.0
