,Random Forest Features
LF_SQRT,1.0
LF_LOG,0.96
LF,0.91
pNN50_YEO_JON,0.56
pNN50,0.55
MEDIAN_REL_RR_YEO_JON,0.36
MEDIAN_REL_RR,0.35
pNN25_YEO_JON,0.29
pNN25,0.28
HF_PCT_SQRT,0.26
higuci,0.25
higuci_SQRT,0.24
HF_PCT_LOG,0.24
HF_PCT,0.24
higuci_LOG,0.23
MEAN_RR,0.2
MEAN_RR_SQRT,0.19
MEAN_RR_LOG,0.19
RMSSD_REL_RR_SQRT,0.18
KURT_YEO_JON,0.18
MEDIAN_RR_LOG,0.16
MEDIAN_RR_SQRT,0.16
KURT_REL_RR,0.16
KURT,0.15
MEDIAN_RR,0.15
SDSD_REL_RR_SQRT,0.15
KURT_REL_RR_YEO_JON,0.15
VLF_PCT_LOG,0.1
SDSD_REL_RR,0.1
RMSSD_REL_RR_LOG,0.1
VLF_PCT_SQRT,0.09
RMSSD_REL_RR,0.09
VLF_PCT,0.09
SDSD_REL_RR_LOG,0.09
SDRR_LOG,0.08
SDRR_SQRT,0.07
SD2_LOG,0.07
SD2_SQRT,0.07
VLF,0.07
SDRR,0.07
VLF_LOG,0.07
LF_PCT,0.07
LF_PCT_SQRT,0.07
LF_PCT_LOG,0.07
VLF_SQRT,0.07
HF_SQRT,0.07
HR_SQRT,0.06
HR_LOG,0.06
SD2,0.06
HF_LOG,0.06
HF,0.06
HR,0.05
SDRR_REL_RR_SQRT,0.04
sampen,0.04
sampen_LOG,0.04
sampen_SQRT,0.04
SDRR_REL_RR_LOG,0.03
SD1_LOG,0.03
LF_HF,0.03
LF_HF_LOG,0.03
LF_HF_SQRT,0.03
LF_NU,0.03
RMSSD_LOG,0.03
SDRR_REL_RR,0.03
SDSD_SQRT,0.03
RMSSD_SQRT,0.03
SD1,0.03
SDSD_LOG,0.03
SDSD,0.03
SD1_SQRT,0.03
SDRR_RMSSD,0.02
LF_NU_SQRT,0.02
SDRR_RMSSD_REL_RR,0.02
SDRR_RMSSD_LOG,0.02
RMSSD,0.02
SDRR_RMSSD_REL_RR_SQRT,0.02
SDRR_RMSSD_SQRT,0.02
SDRR_RMSSD_REL_RR_LOG,0.02
HF_NU_LOG,0.02
HF_NU,0.02
LF_NU_LOG,0.02
HF_NU_SQRT,0.01
HF_LF_SQRT,0.01
HF_LF_LOG,0.01
TP,0.01
HF_LF,0.01
TP_SQRT,0.01
TP_LOG,0.01
MEAN_REL_RR,0.0
SKEW_YEO_JON,0.0
SKEW_REL_RR_YEO_JON,0.0
SKEW_REL_RR,0.0
SKEW,0.0
MEAN_REL_RR_YEO_JON,0.0
