,Random Forest Features
LF_BOXCOX_SQRT,1.0
LF_BOXCOX_LOG,0.94
LF_BOXCOX,0.88
SD1_BOXCOX_LOG,0.58
SD1_BOXCOX,0.57
SD1_BOXCOX_SQRT,0.55
HF_BOXCOX_YEO_JON,0.26
SDRR_REL_RR_SQRT,0.25
HF_BOXCOX,0.24
RMSSD,0.22
RMSSD_LOG_SQRT,0.2
SDRR_REL_RR_LOG,0.2
SDRR_REL_RR,0.2
RMSSD_SQRT,0.19
RMSSD_LOG_LOG,0.19
RMSSD_LOG,0.18
SDRR_RMSSD_REL_RR,0.1
SDRR_RMSSD_REL_RR_LOG,0.09
SDRR_RMSSD_REL_RR_SQRT,0.09
HF_VLF_SQRT,0.07
MEDIAN_RR_LOG,0.06
HR_SQRT,0.06
MEDIAN_RR,0.06
MEDIAN_RR_SQRT,0.06
HF_VLF_LOG,0.06
HF_VLF,0.06
HR,0.05
MEAN_RR_SQRT,0.05
HR_SQRT_LOG,0.05
MEAN_RR_LOG_SQRT,0.05
MEAN_RR_LOG_LOG,0.05
MEAN_RR_LOG,0.05
MEAN_RR,0.05
MEAN_RR_SQRT_SQRT,0.05
MEAN_RR_SQRT_LOG,0.05
KURT_YEO_JONSON_YEO_JON,0.04
HR_LOG,0.04
HR_SQRT_SQRT,0.04
KURT_YEO_JONSON,0.03
SD1_LOG,0.03
SD1_SQRT,0.03
SDSD_LOG,0.02
SD1,0.02
SDSD_SQRT,0.02
SD1_LOG_LOG,0.02
SD1_LOG_SQRT,0.02
SDSD,0.02
RMSSD_REL_RR,0.01
RMSSD_REL_RR_LOG,0.01
RMSSD_REL_RR_LOG_LOG,0.01
RMSSD_REL_RR_LOG_SQRT,0.01
RMSSD_REL_RR_SQRT,0.01
SDSD_REL_RR_LOG_LOG,0.01
SDSD_REL_RR,0.01
VLF_PCT_SQRT,0.01
SDSD_REL_RR_LOG,0.01
SDSD_REL_RR_LOG_SQRT,0.01
SDSD_REL_RR_SQRT,0.01
VLF_PCT_LOG,0.01
TP_SQRT_LOG,0.0
TP_SQRT_SQRT,0.0
VLF,0.0
VLF_LOG,0.0
VLF_LOG_LOG,0.0
VLF_LOG_SQRT,0.0
VLF_PCT,0.0
pNN25,0.0
VLF_SQRT,0.0
TP_LOG_SQRT,0.0
pNN25_LOG,0.0
pNN25_LOG_YEO_JON,0.0
pNN25_YEO_JON,0.0
pNN50,0.0
pNN50_LOG,0.0
pNN50_LOG_YEO_JON,0.0
SD2_SQRT,0.0
TP_SQRT,0.0
TP_LOG,0.0
TP_LOG_LOG,0.0
SDRR_SQRT,0.0
SDRR_RMSSD_SQRT,0.0
SD2_LF_SQRT,0.0
SDRR_RMSSD_LOG_SQRT,0.0
SDRR_RMSSD_LOG_LOG,0.0
SDRR_RMSSD_LOG,0.0
SKEW,0.0
SKEW_REL_RR,0.0
SKEW_REL_RR_YEO_JON,0.0
SDRR_RMSSD,0.0
SKEW_REL_RR_YEO_JONSON,0.0
SKEW_REL_RR_YEO_JONSON_YEO_JON,0.0
SKEW_YEO_JON,0.0
SKEW_YEO_JONSON,0.0
SKEW_YEO_JONSON_YEO_JON,0.0
TP,0.0
SDRR_LOG,0.0
SDRR,0.0
SD2_LOG,0.0
HF,0.0
SD2_LF_LOG,0.0
SD2_LF,0.0
KURT_SQUARE_SQRT,0.0
KURT_SQUARE_LOG,0.0
KURT_SQUARE,0.0
KURT_REL_RR_YEO_JON,0.0
KURT_REL_RR,0.0
KURT,0.0
HR_LF_SQRT,0.0
HR_LF_LOG,0.0
HR_LF,0.0
HR_HF_SQRT,0.0
HR_HF_LOG,0.0
HR_HF,0.0
HF_SQRT,0.0
HF_PCT_SQRT,0.0
HF_PCT_LOG,0.0
HF_PCT,0.0
HF_NU_SQRT,0.0
HF_NU_LOG,0.0
HF_NU,0.0
HF_LOG_SQRT,0.0
HF_LOG_LOG,0.0
HF_LOG,0.0
HF_LF_SQRT,0.0
HF_LF_LOG,0.0
HF_LF,0.0
KURT_YEO_JON,0.0
LF,0.0
LF_HF,0.0
LF_SQRT,0.0
SD2,0.0
MEDIAN_REL_RR_YEO_JON,0.0
MEDIAN_REL_RR_LOG_YEO_JON,0.0
MEDIAN_REL_RR_LOG,0.0
MEDIAN_REL_RR,0.0
MEAN_RR_MEAN_MEAN_REL_RR_YEO_JON,0.0
MEAN_RR_MEAN_MEAN_REL_RR,0.0
MEAN_REL_RR_YEO_JONSON_YEO_JON,0.0
MEAN_REL_RR_YEO_JONSON,0.0
MEAN_REL_RR_YEO_JON,0.0
MEAN_REL_RR,0.0
LF_PCT_SQRT,0.0
LF_HF_LOG,0.0
LF_PCT_LOG,0.0
LF_PCT,0.0
LF_NU_SQRT,0.0
LF_NU_LOG,0.0
LF_NU,0.0
LF_LOG_SQRT,0.0
LF_LOG_LOG,0.0
LF_LOG,0.0
LF_HF_SQRT,0.0
LF_HF_LOG_SQRT,0.0
LF_HF_LOG_LOG,0.0
pNN50_YEO_JON,0.0
