CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,84.29189682006836,0.2690408229827881,0.9877879852827043,-13.464131877049695,-0.954184917856153,-2.6571957672358004,-0.0010651255861894881,-0.4296211203251694
1,85.109858751297,0.2707865238189697,0.9883760989915183,-10.454538433444675,-0.9413428757978388,-2.5641283904970082,-0.0010444751845405172,-0.41675912144252436
2,82.84019589424133,0.26976728439331055,0.9888500437409359,-13.149426846166108,-0.9000763644477053,-2.4091577557684656,-0.0009681635222590174,-0.40080275225149364
3,83.00957822799683,0.2827436923980713,0.9878237592732367,-13.047989167662315,-0.9623553288048561,-2.661825946832569,-0.0010824192241186519,-0.4480345300846196
4,83.75037097930908,0.27784156799316406,0.9880512768927509,-12.480768462069392,-0.9525215132356086,-2.638093961616187,-0.0010779900762393133,-0.43226372521222345
5,83.76255178451538,0.2638232707977295,0.9884299752737709,-11.290291500645772,-0.9453147753745419,-2.5566859146454286,-0.0010505331492266727,-0.432922466501795
6,85.36915755271912,0.2736361026763916,0.9881207285922734,-12.279617124416873,-0.9544133462422153,-2.6475447622760546,-0.0010605458094529229,-0.43025437222656393
7,82.48231983184814,0.2540318965911865,0.9881652615891552,-10.323263628873164,-0.9468695933463265,-2.6263911836475944,-0.001082596892135728,-0.41631660745855115
8,84.30377984046936,0.2780778408050537,0.9886935157254074,-11.365272755246735,-0.9197240728490623,-2.47067201648618,-0.00099884978522729,-0.4159938412441839
9,84.7771806716919,0.2827036380767822,0.9874415584323523,-11.369798619428586,-0.9663023373313004,-2.718013740695706,-0.0011208599539345781,-0.43475812236671985
