CV Fold,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,62.07089829444885,0.19944548606872559,0.24579465184952143,-33.450677500239244,-10.611983735293501,-164.10821986330197,-0.06583133983404019,-9.357142150338149
1,64.14926075935364,0.1829671859741211,0.24339776372439992,-33.43044304047976,-10.704191157919942,-166.9014446902645,-0.06700735324865895,-9.345724480742213
2,65.24452471733093,0.18798327445983887,0.25265210964714224,-33.52987274801688,-10.48817116779443,-161.47762182563307,-0.06474563006254115,-9.229811758128129
3,62.960785150527954,0.2011852264404297,0.2414350901975929,-33.20085376333005,-10.669814756535336,-165.80748575027772,-0.06639720562552834,-9.294082243521288
4,64.35231924057007,0.19072365760803223,0.25445881233133716,-33.305916280350644,-10.588295531651362,-164.60475676419247,-0.06603144153786987,-9.188957492488797
5,65.6999523639679,0.1998302936553955,0.25109296084761046,-33.33374214103261,-10.658294485305843,-165.49104159464216,-0.0666937074242392,-9.276723521526321
6,63.817890644073486,0.18108797073364258,0.25634916134069785,-33.30693886469537,-10.670602938417925,-165.73123718457515,-0.06663332264047682,-9.311692147949039
7,64.66134333610535,0.18420171737670898,0.2564245599819518,-32.860754993086644,-10.620492072096619,-165.00879624904505,-0.06663847667280409,-9.311685940343843
8,63.780752658843994,0.21943068504333496,0.2549281832019922,-33.397558187273454,-10.522405456269617,-162.79775847181193,-0.06558814081131512,-9.20184854913709
9,64.19988226890564,0.19886445999145508,0.2519182627965545,-33.40321116141944,-10.519985001844399,-161.89452734531088,-0.06487170679394016,-9.257339700105923
